Index, Weight,Height
131,132.5807,68.26623
132,130.6988,71.23161
133,115.5637,69.09747
134,123.7941,64.39693
135,128.1427,71.09585
136,135.9646,68.21868
137,116.6273,65.91721
138,126.8241,67.4369
139,151.3913,73.90107
140,130.4022,69.98149
141,136.2068,69.51862
142,113.3989,65.18437
143,125.3287,68.00869
144,127.5846,68.3384
145,107.1564,65.18417
146,116.4588,68.26209
147,133.8402,68.56865
148,112.8901,64.49675
149,130.7568,68.71053
150,137.7571,68.89148
151,125.4036,69.54011
152,138.4659,67.39964
153,120.8184,66.47521
154,140.1539,66.01217
155,136.7397,72.44434
156,106.1139,64.12642
157,158.9562,70.98112
158,108.7868,67.50124
159,138.7758,72.01515
160,115.9136,65.31143
161,146.2922,67.07509
162,109.8765,64.39148
163,139.0499,69.37003
164,119.9001,68.37921
165,128.3069,65.31018
166,127.2428,67.1369
167,115.2306,68.39468
168,124.7975,66.2918
169,126.9511,67.1866
170,111.2711,65.99156
171,122.6089,69.43393
172,124.2084,67.97463
173,124.6453,67.76133
174,119.5169,65.27864
175,139.2983,73.83364
176,104.8265,66.81312
177,123.0424,66.89411
178,118.8923,65.73568
179,121.4939,65.98283
180,119.2488,66.58396
181,135.0239,67.11294
182,116.228,65.87481
183,109.1731,66.78067
184,124.2237,68.73577
185,141.1645,66.22666
186,129.1501,65.95968
187,127.8693,68.58372
188,120.9244,66.59347
189,127.6466,66.96574
190,101.4693,68.08015
191,144.9927,70.19025
192,110.9523,65.52149
193,132.8625,67.45905
194,146.3385,67.40985
195,145.5894,69.66158
196,120.8431,65.79799
197,115.7813,66.10558
198,128.3019,68.23987
199,127.4718,68.02403
200,127.8761,71.39044
201,121.4997,65.7316
202,112.7148,66.43358
203,135.002,70.01309
204,128.6789,69.48146
205,124.4062,68.62764
206,140.026,68.36275
207,117.519,68.39028
208,143.8737,68.77413
209,141.1703,69.9236
210,155.9414,71.55542
211,134.0093,68.44764
212,130.0975,66.71398
213,106.2265,66.68413
214,112.0489,67.93699
215,136.1884,68.89855
216,131.236,67.29191
217,131.3231,69.57212
218,119.5261,67.67479
219,116.9965,69.04155
220,138.5255,67.96765
221,109.6518,65.83982
222,130.1569,65.77288
223,137.1114,71.14106
224,113.759,67.83055
225,114.9725,65.0693
226,127.7149,69.70745
227,121.9972,69.92983
228,117.9607,66.11569
229,127.7141,68.61364
230,117.9619,68.9976
231,125.1554,66.79171
232,141.1026,68.02363
233,145.4822,69.67258
234,116.065,71.82178
235,135.7458,72.74676
236,132.9248,67.27951
237,115.6622,67.41015
238,114.3184,68.5315
239,148.952,68.47126
240,142.1878,68.51867
241,134.104,63.72529
242,141.8926,67.70483
243,138.7444,69.47115
244,134.449,66.70198
245,117.0167,65.23126
246,115.6752,69.89473
247,134.7905,69.83048
248,120.5746,65.3979
249,120.0835,68.32214
250,84.3598,65.93895
251,138.9394,70.09805
252,143.5245,66.05531
253,123.1347,68.23481
254,115.5261,65.21758
255,120.9844,69.16173
256,120.6473,67.60064
257,124.0352,67.28621
258,117.2238,66.84323
259,127.9598,68.08281
260,116.7527,66.56991
261,121.9957,70.16973
262,123.9952,67.85113
263,108.855,66.62309
264,104.6574,63.68816
265,132.248,68.0356
266,127.1834,66.941
267,125.1209,66.26292
268,133.322,70.7301
269,122.3364,70.70844
270,130.2636,73.26872
271,116.7431,63.79021
272,125.8534,67.84109
273,100.627,67.78058
274,118.4945,67.23901
275,137.1255,66.75701
276,118.6991,69.03098
277,124.1641,68.52652
278,124.9442,64.65419
279,126.3889,65.14295
280,121.5255,66.74124
281,133.2951,66.99923
282,127.4072,70.26611
283,125.08,67.57666
284,102.8114,66.30582
285,134.2212,68.90702
286,100.9758,65.60543
287,145.8886,68.00189
288,155.3046,69.93715
289,138.7175,70.1459
290,116.2611,66.66364
291,120.6087,69.40676
292,114.4083,66.80598
293,133.3406,67.70048
294,92.74955,69.13438
295,131.7825,67.53769
296,118.3865,65.77912
297,131.1466,66.25769
298,130.2033,67.39038
299,129.1836,64.94327
300,143.1445,69.25699
301,138.7307,69.07739
302,130.9528,69.64403
303,124.3032,69.07705
304,135.3702,68.01304
305,124.1988,68.85664
306,111.2389,63.19158
307,129.4037,65.57591
308,127.7444,69.12101
309,121.3311,69.78765
310,118.2183,67.48203
311,123.3441,69.08809
312,151.9118,68.5529
313,115.3108,68.21327
314,122.3844,67.1012
315,129.2323,71.23661
316,138.2824,69.11946
317,144.0565,65.49848
318,120.8482,66.58706
319,113.3034,67.99831
320,149.3227,72.57747
321,130.6373,67.97585
322,122.387,66.62347
323,133.8677,67.29574
324,134.8336,65.95951
325,137.8363,66.54011
326,112.6812,68.07723
327,121.1964,65.83291
328,114.9262,69.23721
329,110.3762,64.69413
330,126.0337,69.21372
331,118.7008,67.16792
332,119.3108,67.8467
333,150.7397,69.27389
334,121.1142,67.90547
335,118.4065,67.076
336,142.759,70.01531
337,145.6305,70.05454
338,127.3425,70.86714
339,115.9678,66.0586
340,104.4441,65.23745
341,138.4905,68.7413
342,145.5049,69.51946
343,124.4065,70.30764
344,124.1866,67.29982
345,126.1659,67.60582
346,138.8125,67.85566
347,121.5515,66.46536
348,114.2555,68.92071
349,129.4022,68.46886
350,137.5583,69.5193
351,134.4996,70.23956
352,127.7103,67.85651
353,115.6709,68.00435
354,131.5906,67.13983
355,127.5839,68.09931
356,125.7211,68.99077
357,119.9885,69.32618
358,140.8676,70.09286
359,136.9164,68.74304
360,118.4759,64.18633
361,129.5516,66.09074
362,152.0714,69.24418
363,120.8646,69.66512
364,136.1027,68.42721
365,130.0611,68.28613
366,131.7743,69.37684
367,139.38,68.35315
368,168.229,72.32489
369,127.6446,70.37159
370,131.8008,65.72927
371,122.8561,66.49627
372,140.2133,70.81339
373,142.6929,67.37579
374,137.4299,67.79709
375,126.0392,68.1607
376,143.5985,68.85782
377,122.62,67.71342
378,108.6044,64.66007
379,100.6617,65.73721
380,116.1397,68.42441
381,140.5293,68.88946
382,125.6907,68.27367
383,134.3329,69.18045
384,136.4649,72.60996
385,127.8822,66.04157
386,123.1361,69.2288
387,116.3375,68.87697
388,124.5581,66.46042
389,125.7853,69.30444
390,107.5905,67.58249
391,143.0236,69.41816
392,118.7434,67.46867
393,118.9856,66.44873
394,131.8744,68.76185
395,119.3691,63.76881
396,126.1223,69.03663
397,126.6122,66.48966
398,113.5597,66.74224
399,115.8413,67.69394
400,130.2738,66.69066
401,125.4542,67.02877
402,117.1655,65.91096
403,137.3184,70.0304
404,149.4447,69.26978
405,151.0695,70.07695
406,116.9994,64.90942
407,138.1787,69.68744
408,127.621,67.56524
409,120.7514,63.85529
410,144.2537,71.6189
411,105.7939,64.98993
412,120.1567,64.60759
413,109.0848,62.01666
414,125.971,65.28516
415,110.2325,67.70163
416,134.4706,70.85794
417,115.5067,68.17075
418,125.1086,67.45006
419,116.4113,71.04224
420,133.3944,67.83032
421,108.7478,67.15488
422,134.3986,68.30289
423,131.2085,65.41208
424,130.8318,68.66755
425,127.0838,70.06733
426,119.4067,69.13413
427,105.5616,67.02078
428,134.4733,65.52274
429,132.6897,70.19808
430,126.058,67.66866
431,126.3532,69.73257
432,142.3603,67.61719
433,124.5873,70.79589
434,122.3604,69.65804
435,123.2298,66.73277
436,131.4049,67.58008
437,124.3037,65.25317
438,128.3836,70.71387
439,136.853,71.27374
440,118.0569,66.55913
441,121.4969,68.04247
442,119.2811,68.11699
443,126.5545,71.2367
444,129.2477,66.92387
445,134.7804,71.10381
446,146.0725,69.41466
447,162.4109,69.16807
448,130.1885,68.57725
449,132.1941,69.60315
450,127.4591,69.05087
451,125.3466,68.28699
452,134.7559,69.25276
453,121.9395,68.23862
454,125.6688,67.6868
455,145.956,68.84083
456,119.9207,69.52061
457,111.5093,66.97668
458,138.676,72.0053
459,135.0151,67.44482
460,116.509,66.06214
461,123.9575,65.5747
462,136.952,68.30171
463,153.0797,71.02603
464,126.357,70.76882
465,145.0614,67.50812
466,135.1739,69.50936
467,108.806,66.4455
468,110.5155,68.5689
469,138.2685,67.01296
470,119.5111,68.70004
471,115.3214,68.23013
472,132.3684,70.40713
473,93.99438,65.69989
474,127.4051,65.7031
475,134.3024,68.48055
476,124.9721,66.62891
477,124.072,66.84285
478,133.5476,69.89734
479,134.1509,67.6543
480,130.2489,68.30917
481,138.0935,69.74848
482,126.6064,68.57906
483,131.8076,68.14477
484,131.7363,67.98093
485,117.6261,64.82535
486,126.1943,69.20785
487,127.5132,69.2656
488,142.4785,70.9403
489,139.444,69.07826
490,110.3204,66.20183
491,131.9541,71.05779
492,129.2037,68.99493
493,124.3513,70.96089
494,126.5251,66.02496
495,149.2303,69.8641
496,142.1577,66.82802
497,127.1436,69.09424
498,122.3353,66.81425
499,112.6659,67.13183
500,134.2647,64.57428
501,120.6936,68.68038
502,115.783,67.53724
503,128.6855,71.17732
504,134.7611,70.53514
505,118.3419,71.53411
506,106.1557,66.77301
507,126.3823,66.33636
508,114.3716,64.83095
509,130.2787,68.38247
510,123.3066,68.05038
511,122.8571,69.09149
512,125.6932,69.91046
513,111.7247,68.40737
514,125.5516,68.32559
515,119.9702,66.95555
516,132.6043,70.54816
517,132.6738,69.37805
518,117.4521,67.52012
519,101.8549,64.87142
520,128.4418,69.13396
521,134.0414,68.81192
522,127.7511,67.56446
523,127.6172,68.16772
524,139.3971,65.80687
525,113.9381,64.92276
526,147.5188,68.35584
527,132.6523,66.71546
528,132.8139,69.18196
529,105.0942,65.88795
530,127.5187,66.03733
531,130.7305,69.44194
532,128.5815,67.14847
533,122.5699,65.69442
534,157.2961,69.42723
535,121.1097,66.54503
536,147.5061,69.04469
537,117.493,67.62036
538,132.4472,69.59105
539,118.1774,68.12343
540,123.7319,71.22641
541,130.365,66.43285
542,122.8882,66.31808
543,107.8693,68.02724
544,118.591,68.2876
545,125.6467,66.91609
546,148.6016,71.77546
547,150.279,66.04535
548,127.0678,69.01455
549,128.7122,68.70744
550,118.4233,65.012
551,125.3879,66.05857
552,149.2676,71.16403
553,107.3484,67.55274
554,133.6992,68.83455
555,124.8508,68.11811
556,112.7028,67.90528
557,127.8407,67.64085
558,134.1615,69.78282
559,138.6031,67.99889
560,126.044,69.41465
561,129.5856,70.42989
562,134.1054,67.67519
563,106.1251,67.88036
564,127.0561,68.06905
565,121.9241,66.99435
566,150.7365,71.57689
567,116.0061,64.36564
568,125.4748,67.93011
569,131.6099,69.91863
570,129.0696,69.93864
571,129.1117,66.79766
572,148.1624,70.11119
573,105.388,68.94814
574,110.5447,68.02886
575,118.6402,69.36148
576,122.8151,68.44886
577,124.887,65.70282
578,135.7695,69.55674
579,116.4563,65.84635
580,125.3617,68.79983
581,133.122,69.03835
582,138.3328,67.36352
583,124.4972,70.35788
584,136.7205,69.88828
585,115.0153,65.15319
586,132.6366,69.40907
587,143.1323,68.50874
588,134.7422,65.71552
589,122.6246,63.98308
590,153.5634,70.07685
591,126.289,68.42542
592,134.7206,68.23665
593,134.5987,67.82856
594,118.3945,66.31277
595,121.2997,69.75128
596,132.2844,65.70901
597,139.0617,66.88227
598,110.698,67.2791
599,154.1073,70.63357
600,124.1592,69.9377
601,134.5173,65.87671
602,138.2622,72.44694
603,149.0801,70.07052
604,127.0075,67.68486
605,117.8222,66.1151
606,148.9096,69.94355
607,128.2151,68.24317
608,129.6944,68.80144
609,125.5674,66.61818
610,128.7947,70.18701
611,124.187,65.58971
612,151.4167,68.69566
613,106.9803,64.88639
614,145.6221,69.81993
615,121.5926,66.33962
616,130.9386,70.4434
617,135.6203,69.99163
618,123.9315,70.13617
619,131.9955,67.1793
620,117.484,68.2034
621,129.6577,67.76121
622,122.3706,64.79753
623,114.5867,66.47871
624,116.5401,66.98337
625,139.4307,65.69991
626,123.4822,66.82705
627,132.5492,66.35141
628,143.4013,70.13491
629,132.9429,70.11565
630,98.8972,64.56145
631,122.4342,68.15724
632,104.6767,67.1475
633,142.7847,70.88927
634,130.9283,68.16218
635,143.827,71.19657
636,142.2832,67.92444
637,107.9441,65.30204
638,105.6891,66.40756
639,125.4007,71.30647
640,106.4195,69.05997
641,118.5371,65.95442
642,136.7836,69.63776
643,145.9328,71.10495
644,129.637,66.21851
645,108.4955,66.13469
646,121.2537,67.7851
647,135.7399,66.67737
648,137.5026,69.99408
649,124.0052,71.1441
650,128.8613,68.63927
651,133.6811,69.08548
652,106.5185,67.97389
653,113.0398,65.94809
654,125.9639,66.02102
655,140.2945,71.23576
656,143.229,67.52674
657,145.8063,71.06935
658,128.1697,68.27178
659,134.1839,67.31932
660,140.2166,68.98848
661,146.3453,68.404
662,132.0784,67.092
663,122.13,66.76866
664,131.4693,65.64636
665,129.5167,65.34105
666,125.7451,68.18299
667,153.1384,70.65924
668,124.5559,65.94401
669,134.8225,69.62792
670,115.3877,68.29965
671,117.9618,70.06075
672,124.5647,68.43602
673,134.4043,69.27012
674,129.3092,67.70511
675,133.1423,70.89315
676,147.3609,70.54313
677,155.0132,71.58086
678,126.2905,68.42301
679,134.4605,69.35781
680,134.0296,70.445
681,128.9248,67.38153
682,123.0543,67.50767
683,112.1788,68.52054
684,111.7443,66.80858
685,148.4615,72.38532
686,136.7459,68.51642
687,133.2068,70.79791
688,116.8855,66.21905
689,124.8542,68.31167
690,121.5809,67.1715
691,123.197,67.7714
692,137.1255,67.47328
693,121.4941,67.77463
694,150.9398,69.20099
695,142.3009,70.04297
696,134.7527,70.56979
697,133.5585,66.45379
698,136.0895,67.68132
699,95.20216,65.75638
700,119.7404,69.3549
701,152.9146,70.5902
702,140.1991,67.27626
703,145.2503,68.48853
704,119.4855,67.02188
705,123.512,65.77613
706,110.6754,65.96579
707,111.4951,68.18868
708,139.4849,72.08595
709,133.088,66.85358
710,133.5196,69.10929
711,112.7698,64.5909
712,124.7975,67.03849
713,123.4224,68.99156
714,142.0921,70.59872
715,116.2814,70.08988
716,131.1256,65.6844
717,131.2493,67.0982
718,127.2422,66.03932
719,122.4523,69.26423
720,115.2431,66.61351
721,126.9532,68.11738
722,143.4439,69.73059
723,125.377,64.02042
724,109.0095,66.23753
725,139.2411,72.46761
726,102.182,66.21938
727,144.3898,71.2978
728,83.08527,63.1255
729,145.3938,70.93034
730,134.9267,68.25489
731,134.678,64.78014
732,111.4963,65.42982
733,119.7951,68.91361
734,95.70426,64.96937
735,117.159,66.15237
736,127.2356,65.98386
737,144.9205,69.2435
738,122.8464,68.31982
739,134.19,70.11607
740,124.9776,68.63521
741,135.8441,67.74289
742,120.8222,64.58641
743,125.0174,64.66165
744,133.5474,65.90771
745,124.5583,65.77649
746,135.9691,67.1506
747,143.5738,72.24339
748,130.5725,68.73199
749,127.192,67.57019
750,141.2372,70.36234
751,107.4236,63.62233
752,122.3234,66.20711
753,111.6055,66.22114
754,137.8915,70.0722
755,142.8742,69.6563
756,114.4349,66.25043
757,128.2736,68.0704
758,134.5725,67.14808
759,140.1034,68.76609
760,121.977,68.12075
761,111.4248,65.72987
762,135.0756,69.17439
763,132.9826,70.36351
764,117.7566,70.78557
765,134.9877,70.88083
766,151.6121,66.62148
767,128.9287,69.9829
768,120.1575,66.92866
769,125.6007,71.45806
770,127.8292,69.66344
771,136.1354,69.30943
772,116.2841,66.59775
773,127.0777,64.20209
774,125.7165,68.23051
775,121.0749,70.09021
776,122.7382,70.9755
777,119.4545,64.93134
778,132.9048,66.90106
779,132.8687,69.19803
780,124.3486,68.4149
781,132.2198,66.3163
782,142.804,72.13467
783,129.605,65.74613
784,128.5326,69.96677
785,112.9919,65.11417
786,122.0795,67.43294
787,118.396,66.39785
788,130.1299,67.18769
789,111.6824,67.68597
790,142.2452,67.77469
791,122.6049,63.62937
792,122.8198,66.447
793,119.1123,71.9233
794,139.4335,67.92214
795,141.3353,68.01143
796,119.787,67.76524
797,136.326,69.19791
798,118.4099,67.00109
799,137.692,67.09659
800,129.078,69.85144
801,123.4642,67.42782
802,115.4311,68.1104
803,129.931,68.29433
804,135.9563,69.45176
805,127.8134,69.08219
806,139.1014,70.91753
807,109.2132,64.20566
808,124.6154,71.10315
809,136.221,72.08523
810,120.4722,66.15119
811,116.1659,67.52898
812,115.5093,67.17586
813,141.9961,72.92955
814,135.4869,65.54112
815,135.1305,69.08487
816,108.2494,65.28991
817,125.1277,68.53447
818,142.8947,71.32802
819,128.2978,66.88095
820,128.268,67.91196
821,103.5665,67.00238
822,156.1069,68.27584
823,104.9661,66.20276
824,121.6365,64.24214
825,132.0066,67.43738
826,118.4079,64.50081
827,135.3898,68.89607
828,140.6633,70.32908
829,111.6703,64.31742
830,128.0328,67.11253
831,130.4737,68.01206
832,128.2127,68.25267
833,142.8202,67.76873
834,123.0804,67.44291
835,117.8771,65.73581
836,130.9274,69.64372
837,129.1735,71.92818
838,144.5784,69.39435
839,115.8635,67.14717
840,116.5322,69.1469
841,141.9947,66.90594
842,132.1304,67.838
843,135.2607,68.09614
844,127.0684,66.14093
845,129.844,71.16386
846,134.5066,67.55757
847,121.3609,70.01279
848,143.1486,72.56431
849,124.7741,66.60224
850,120.1546,68.51802
851,139.4163,66.34638
852,131.6743,69.02692
853,131.07,69.12446
854,129.8914,68.24578
855,123.344,68.4869
856,137.5314,70.68261
857,136.8886,70.35969
858,118.4024,67.62401
859,116.2441,69.4463
860,124.8433,67.92486
861,120.9809,68.39347
862,105.1208,66.31812
863,145.4377,71.22882
864,108.1912,65.29169
865,130.3778,66.00287
866,117.5157,67.61775
867,135.8762,69.10276
868,127.5126,68.99743
869,151.3998,69.07531
870,112.4799,68.34086
871,156.7554,71.68196
872,138.2098,68.77664
873,109.5685,66.18191
874,139.9742,72.37092
875,124.5873,66.85155
876,130.5023,65.75688
877,151.0783,69.69245
878,108.7722,66.27915
879,105.9927,66.47752
880,143.4301,68.71912
881,114.7434,68.29244
882,123.7736,67.66696
883,139.4769,71.29885
884,115.8201,67.07369
885,146.5682,70.68048
886,153.9993,71.40114
887,137.5899,71.00392
888,125.9287,66.2799
889,139.6939,68.05383
890,126.3585,64.16346
891,113.9307,66.87966
892,129.7605,70.52968
893,116.1925,65.45595
894,139.1294,69.11331
895,126.9815,67.94221
896,125.8352,67.2132
897,113.524,67.6372
898,123.2372,70.09365
899,123.0554,64.41354
900,128.133,69.77698
901,127.9357,66.58181
902,110.4678,68.14995
903,127.9364,66.18165
904,118.1678,66.79412
905,129.7243,67.1657
906,130.6094,68.01904
907,105.0414,66.95837
908,122.6299,68.70397
909,138.3259,69.68057
910,107.7381,66.52793
911,141.4417,66.46981
912,153.6966,71.44643
913,134.5551,66.62648
914,109.6593,64.01015
915,117.2029,65.03312
916,124.2843,66.77216
917,125.2193,68.91932
918,133.2256,71.22926
919,122.6042,71.10332
920,134.8652,69.80699
921,111.4506,67.09127
922,116.8458,67.27958
923,143.1527,71.86593
924,99.92383,67.20197
925,127.9232,68.44108
926,136.658,67.20278
927,145.3947,69.36588
928,126.6818,69.0416
929,128.1983,65.9056
930,122.8328,66.44766
931,133.2571,66.08009
932,116.7606,69.35367
933,144.0455,70.83359
934,132.5153,67.664
935,123.9832,65.30966
936,113.1423,66.66817
937,123.9512,66.93271
938,133.9787,67.73938
939,128.1519,64.27722
940,121.2878,66.83442
941,122.7107,65.89728
942,125.4136,67.6564
943,124.8761,68.68966
944,116.5903,66.08003
945,129.889,66.91344
946,123.889,69.48392
947,137.6571,68.60001
948,130.8805,69.21225
949,141.9706,67.63342
950,125.7334,65.73405
951,104.4108,66.09947
952,117.0685,67.65293
953,131.7669,67.59619
954,125.4738,69.57859
955,129.5734,66.08879
956,130.1053,70.08026
957,131.9305,65.00956
958,142.4645,69.16464
959,127.6431,69.61276
960,153.3153,71.48367
961,126.7609,69.47413
962,114.0258,69.0027
963,133.9684,69.5581
964,127.5869,68.63746
965,126.4859,67.20262
966,120.7651,66.07614
967,126.6479,66.18342
968,133.0747,70.80778
969,125.9649,67.158
970,121.3206,65.2973
971,129.7824,69.23494
972,130.0549,68.90768
973,123.4005,72.3478
974,137.2791,68.29557
975,127.7554,68.34735
976,133.6853,67.46476
977,113.9275,68.86803
978,135.6168,66.62471
979,122.6005,64.77193
980,118.9472,67.70647
981,134.2703,72.992
982,124.2747,70.95194
983,130.6981,67.95677
984,124.6797,67.20959
985,129.0839,66.36959
986,121.9456,67.63896
987,126.2689,69.74444
988,134.6122,68.17532
989,131.8476,66.89711
990,103.5828,67.4966
991,116.3925,66.51569
992,123.5095,66.88332
993,150.3395,69.7277
994,135.2437,69.78345
995,112.4584,65.40046
996,137.4861,67.99831
997,132.7902,72.25581
998,126.0286,70.79562
999,141.3591,65.18786
1000,135.9065,67.7123
1001,134.6655,70.05146
1002,122.0232,67.30497
1003,128.3502,66.39813
1004,130.6354,69.73637
1005,131.717,68.71659
1006,108.6132,63.88437
1007,114.5673,68.40851
1008,133.5136,67.93251
1009,135.8641,70.69674
1010,148.1093,68.95083
1011,123.5179,66.49457
1012,120.8406,68.59369
1013,116.2666,66.26442
1014,123.8986,69.58656
1015,119.32,67.35651
1016,119.4097,69.68727
1017,124.5933,68.44046
1018,130.8802,68.47973
1019,118.2058,65.45463
1020,109.6357,66.8085
1021,140.2298,70.05212
1022,121.5764,67.43558
1023,98.30262,66.54306
1024,117.6173,67.32353
1025,136.5104,67.9725
1026,148.9791,69.03858
1027,123.9665,67.69453
1028,133.5957,69.30508
1029,117.2334,65.39643
1030,123.5943,68.35638
1031,117.7674,65.36888
1032,137.2321,68.36499
1033,129.1996,71.15702
1034,142.4032,69.25532
1035,128.4838,66.6984
1036,115.3008,69.17548
1037,119.5309,68.31559
1038,121.7224,67.81616
1039,142.8442,68.56123
1040,110.1171,66.23085
1041,122.0958,68.95099
1042,124.8188,67.86761
1043,119.3169,68.05498
1044,132.4571,67.73986
1045,133.0316,69.83641
1046,160.8831,70.68574
1047,119.127,64.54385
1048,138.516,67.93112
1049,124.8232,67.77291
1050,135.9744,69.41312
1051,116.2254,67.77213
1052,139.2002,67.79965
1053,137.983,67.98313
1054,144.5084,69.97983
1055,109.1938,63.83261
1056,127.228,65.57212
1057,124.5517,69.34307
1058,114.926,67.28398
1059,132.5027,68.7435
1060,125.3892,69.03112
1061,128.4988,69.64426
1062,117.7319,66.70052
1063,112.9531,67.9143
1064,126.1835,64.36849
1065,118.7934,65.87507
1066,125.4388,67.07427
1067,124.9451,69.34545
1068,145.5139,69.83212
1069,116.7836,66.10245
1070,132.5216,69.26205
1071,114.8933,68.33525
1072,122.8594,69.38017
1073,130.5782,69.12887
1074,119.1058,68.44658
1075,133.8204,66.34542
1076,128.5779,70.03275
1077,139.0179,70.16523
1078,101.2876,68.18324
1079,140.958,70.12378
1080,134.6146,68.4296
1081,129.9482,66.43974
1082,139.064,71.72703
1083,135.1996,70.72387
1084,129.682,68.09022
1085,129.1395,70.12976
1086,129.0051,66.05393
1087,112.7357,69.77059
1088,126.1123,68.15816
1089,118.3724,69.91372
1090,122.9731,65.34461
1091,130.3663,68.35621
1092,114.226,64.50585
1093,115.7854,67.95491
1094,137.9526,68.57621
1095,112.2435,68.12257
1096,137.237,68.77583
1097,124.9418,67.92593
1098,135.0961,69.1484
1099,114.4199,63.20539
1100,122.1823,69.2442
1101,129.375,65.88645
1102,129.9448,67.85186
1103,140.4557,65.57418
1104,120.8977,66.70819
1105,129.159,69.172
1106,137.1397,69.23593
1107,145.2218,67.57232
1108,140.0956,69.50518
1109,124.12,70.60288
1110,135.6875,66.54152
1111,127.756,69.11494
1112,144.0475,69.951
1113,131.9333,67.70347
1114,135.5263,69.19028
1115,151.3579,67.8047
1116,124.7073,67.62532
1117,135.274,70.36898
1118,136.5388,71.02595
1119,137.8778,69.8452
1120,114.2066,67.08638
1121,141.5844,68.62013
1122,111.0969,64.37275
1123,126.3868,65.93523
1124,132.8885,65.24285
1125,144.7904,70.51481
1126,108.3859,66.61129
1127,124.1348,67.13394
1128,129.4462,66.77634
1129,131.3339,67.69385
1130,111.6411,67.82809
1131,111.6422,66.63254
1132,140.3178,67.62229
1133,125.5286,69.66798
1134,114.49,62.75039
1135,113.998,64.53878
1136,117.1931,68.01929
1137,138.3156,66.38551
1138,122.3712,70.18724
1139,132.9431,64.646
1140,124.0449,67.48819
1141,144.1591,72.01807
1142,115.4581,66.61356
1143,116.5192,65.81803
1144,139.6139,71.16185
1145,133.2364,68.51977
1146,120.025,64.96088
1147,123.1111,66.88268
1148,132.8462,70.3531
1149,120.9359,67.71744
1150,129.7702,66.03333
1151,136.9118,68.9826
1152,131.121,68.60237
1153,133.484,66.8408
1154,136.3871,68.03659
1155,131.4559,64.79586
1156,126.1986,70.55126
1157,115.046,68.28166
1158,130.3178,68.77574
1159,131.6954,67.09315
1160,135.6519,70.14303
1161,120.3029,65.46833
1162,129.1442,69.02275
